% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.9450025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9500036000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9550027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9600017000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9650028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9700015000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9750026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9800019000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9850029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9900017000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9950025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0000026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0050030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0100039000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0150030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0200031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0250029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0300106000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0350042000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0400143000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0450032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0500023000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0550030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0600021000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0650030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0700027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0750025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0800025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0850028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
