% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        1.0853954000         0.1085395400         2.7877765849         1.3812288851         5.0066353810         1.1518928922         0.8721477658
        1.0903839000         0.1090383900         2.7880271310         1.3786765582         5.0040835035         1.0854055680         0.8761561752
        1.0954708000         0.1095470800         2.7882826409         1.3786765582         5.0040835035         1.0854055680         0.8802436519
        1.1004851000         0.1100485100         2.7885345258         1.3786765582         5.0015316260         1.0854055680         0.8842727924
        1.1054038000         0.1105403800         2.7887816291         1.3863335388         5.0091872584         1.2848675407         0.8882251154
        1.1104709000         0.1110470900         2.7890362092         1.3735719045         4.9938759937         0.9524309195         0.8922966823
        1.1154020000         0.1115402000         2.7892839773         1.3735719045         4.9811166064         0.9524309195         0.8962589691
        1.1204519000         0.1120451900         2.7895377362         1.3939905194         1.1124703785         1.4843295134         0.9003167152
        1.1254264000         0.1125426400         2.7897877274         1.3888858657         1.1175741334         1.3513548649         0.9043138752
        1.1304424000         0.1130442400         2.7900398255         1.3735719045         1.0920553588         0.9524309195         0.9083443817
        1.1354753000         0.1135475300         2.7902927945         1.3735719045         1.1048147461         0.9524309195         0.9123884678
        1.1403853000         0.1140385300         2.7905396070         1.3863335388         1.1099185011         1.2848675407         0.9163338001
        1.1454147000         0.1145414700         2.7907924427         1.3735719045         1.1048147461         0.9524309195         0.9203750739
        1.1503875000         0.1150387500         2.7910424543         1.3863335388         1.1201260109         1.2848675407         0.9243708679
        1.1554474000         0.1155447400         2.7912968665         1.3812288851         1.1124703785         1.1518928922         0.9284366493
        1.1604280000         0.1160428000         2.7915473128         1.3761242314         1.1048147461         1.0189182438         0.9324387108
        1.1654151000         0.1165415100         2.7917981071         1.3812288851         1.1124703785         1.1518928922         0.9364459953
        1.1704775000         0.1170477500         2.7920527099         1.3837812120         1.1124703785         1.2183802165         0.9405137856
        1.1754275000         0.1175427500         2.7923016810         1.3786765582         1.1124703785         1.0854055680         0.9444912591
        1.1804691000         0.1180469100         2.7925552807         1.3863335388         1.1175741334         1.2848675407         0.9485423359
        1.1854592000         0.1185459200         2.7928063113         1.3863335388         0.0049555613         1.2848675407         0.9525520310
        1.1904555000         0.1190455500         2.7930576751         1.3888858657         0.0075074388         1.3513548649         0.9565667079
        1.1953827000         0.1195382700         2.7933055834         1.3863335388         0.0075074388         1.2848675407         0.9605258609
        1.2003921000         0.1200392100         2.7935576488         1.3710195777        -0.0052519485         0.8859435953         0.9645510641
        1.2054180000         0.1205418000         2.7938105659         1.3786765582         0.0024036839         1.0854055680         0.9685895255
        1.2104598000         0.1210459800         2.7940643050         1.3761242314         0.0024036839         1.0189182438         0.9726407631
        1.2154114000         0.1215411400         2.7943135256         1.3735719045        -0.0027000711         0.9524309195         0.9766195222
        1.2204658000         0.1220465800         2.7945679420         1.3863335388         0.0049555613         1.2848675407         0.9806808843
        1.2254171000         0.1225417100         2.7948171899         1.3914381925         0.0075074388         1.4178421891         0.9846594024
        1.2304973000         0.1230497300         2.7950729485         1.3812288851        -0.0052519485         1.1518928922         0.9887414955
        1.2354193000         0.1235419300         2.7953207637         1.3786765582        -0.0052519485         1.0854055680         0.9926964701
        1.2404605000         0.1240460500         2.7955746020         1.3837812120        -0.0001481936         1.2183802165         0.9967472256
        1.2454188000         0.1245418800         2.7958242872         1.3837812120        -0.0078038260         1.2183802165         1.0007313684
        1.2504855000         0.1250485500         2.7960794529         1.3914381925         0.0075074388         1.4178421891         1.0048026138
        1.2554212000         0.1255421200         2.7963280424         1.3888858657         0.0075074388         1.3513548649         1.0087685968
