% Motor Triangle Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 10.0000 [sec]
% Cycles       = 5
% Duration     = 50.0000 [sec]
% K_lin        = 9.283000 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336895 [V]
% p_cw         = [-3.197700, 35.875600, -73.405600]
% p_ccw        = [3.168100, 3.851000, -25.925000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       29.7450054000        -0.2549946000         2.1860298915         1.2510602154         3.6720034699        -2.2359687137        -2.3671148718
       29.7500072000        -0.2499928000         2.1886516073         1.2561648691         3.6720034699        -2.1029940653        -2.3206831624
       29.7550065000        -0.2449935000         2.1912695589         1.2357462543         3.6490365728        -2.6348926591        -2.2742746605
       29.7600155000        -0.2399845000         2.1938901366         1.2485078886         3.6439328179        -2.3024560380        -2.2277761135
       29.7650092000        -0.2349908000         2.1965002721         1.2612695229         3.6464846953        -1.9700194168        -2.1814195964
       29.7700148000        -0.2299852000         2.1991141917         1.2689265034         3.6388290629        -1.7705574442        -2.1349526116
       29.7750065000        -0.2249935000         2.2017184308         1.2612695229         3.6235177982        -1.9700194168        -2.0886146605
       29.7800123000        -0.2199877000         2.2043276042         1.2485078886         3.6133102883        -2.3024560380        -2.0421458191
       29.7850041000        -0.2149959000         2.2069270718         1.2638218497         3.6107584109        -1.9035320926        -1.9958069397
       29.7900130000        -0.2099870000         2.2095330334         1.2587171960         3.5979990236        -2.0365067411        -1.9493093210
       29.7950114000        -0.2049886000         2.2121311316         1.2714788303         3.6031027785        -1.7040701199        -1.9029091738
       29.8000088000        -0.1999912000         2.2147263191         1.2689265034         3.5903433912        -1.7705574442        -1.8565183096
       29.8050082000        -0.1949918000         2.2173201599         1.2714788303         3.5826877588        -1.7040701199        -1.8101088794
       29.8100101000        -0.1899899000         2.2199129166         1.2561648691         3.5699283715        -2.1029940653        -1.7636762417
       29.8150067000        -0.1849933000         2.2225005546         1.2740311571         3.5699283715        -1.6375827957        -1.7172928039
       29.8200509000        -0.1799491000         2.2251104462         1.2714788303         3.5622727392        -1.7040701199        -1.6704674953
